"","Plate","Day","Day_number_by_exp","Exp_day_after","Number","Day_number","Date.x","Year","Dark_condition","Time","Strain","Video_1","OBS","USE","Time_dry","Num_Adults","Num_other","Microliters_counting","Treatment","Height_base","Height","Angle_length","Length","Width","Pillar_height","Pillar_angle","Pillar_length","Pillar_width","Sociality","Procedence","Conc","Conc_T","Timehms","Time_minutes","Filming_number","count_all","count","Corrected_length","Corrected_height","Pillar_angle_absolute","Angle_length_absolute","Zero_time_minutes","First_base","Time_Span_from_first","Time_Span_from_zero","Time_Span","Tw_height_Span","Tw_length_Span","Corrected_height_Span","Corrected_length_Span","growth_length","growth_height","growth_corrected_length","growth_corrected_height","Length_nobase","Height_nobase","Tw_area","Tw_area_corrected","Num_Adults_1mu","Num_Other_1mu","Prop_A_others","Mean_height","Median_height"
"22","40",12,25,"E",2390,25,"14. Aug",2023,"Y",19:25:00,"CB","MVI_7953",NA,"Y","18:20",41,NA,2,"2.DAU",0.397,1.652,-1.701,1.636,0.357,2.885,-1.005,2.886,0.152,"1Social","1Wild","12 _ 40","2.DAU _ CB",19H 25M 0S,1165,1,3,3,0.566874566874567,0.57261698440208,1.005,1.701,1100,0.397,0,65,0,0,0,0,0,0,0,0,0,1.239,1.255,0.584052,0.20237422037422,20.5,NA,NA,1.60933333333333,1.601
"23","41",12,7,"E",2372,7,"14. Aug",2023,"Y",18:20:00,"CB","MVI_7914",NA,"Y","18:20",41,NA,2,"2.DAU",0.324,0.745,-3.061,0.758,0.178,3.113,-3.937,3.133,0.165,"1Social","1Wild","12 _ 41","2.DAU _ CB",18H 20M 0S,1100,1,4,4,0.241940631982126,0.239318984902024,3.937,3.061,1100,0.324,0,0,0,0,0,0,0,0,0,0,0,0.434,0.421,0.134924,0.0430654324928184,20.5,NA,NA,0.964333333333333,1.048
"24","42",12,8,"E",2373,8,"14. Aug",2023,"Y",18:20:00,"CB","MVI_7915",NA,"Y","18:20",41,NA,2,"2.DAU",0.275,0.749,4.97,0.748,0.175,2.328,5.928,2.328,0.14,"1Social","1Wild","12 _ 42","2.DAU _ CB",18H 20M 0S,1100,1,4,4,0.321305841924399,0.321735395189003,5.928,4.97,1100,0.275,0,0,0,0,0,0,0,0,0,0,0,0.473,0.474,0.1309,0.0562285223367698,20.5,NA,NA,0.794666666666667,0.774
"25","43",12,9,"E",2374,9,"14. Aug",2023,"Y",18:20:00,"CB","MVI_7916",NA,"Y","18:20",41,NA,2,"2.DAU",0.304,0.802,3.719,0.811,0.195,3.202,4.054,3.222,0.117,"1Social","1Wild","12 _ 43","2.DAU _ CB",18H 20M 0S,1100,1,4,4,0.251707014276847,0.250468457214241,4.054,3.719,1100,0.304,0,0,0,0,0,0,0,0,0,0,0,0.507,0.498,0.158145,0.0490828677839851,20.5,NA,NA,0.873333333333333,0.825
"26","44",12,29,"E",2394,29,"14. Aug",2023,"Y",19:25:00,"CB","MVI_7957",NA,"Y","18:20",41,NA,2,"2.DAU",0.368,0.891,5.634,0.907,0.209,2.442,1.79,2.431,0.115,"1Social","1Wild","12 _ 44","2.DAU _ CB",19H 25M 0S,1165,1,3,3,0.37309749074455,0.364864864864865,1.79,5.634,1100,0.368,0,65,0,0,0,0,0,0,0,0,0,0.539,0.523,0.189563,0.0779773755656109,20.5,NA,NA,0.84,0.903
"27","35",13,28,"E",2555,28,"01. Sep",2023,"Y",14:55:00,"N2","MVI_8108",NA,"Y","13:50",8,NA,2,"2.DAU",0.349,2.08,2.367,2.08,0.252,1.627,-1.753,1.662,0.086,"2Non_social","2Lab","13 _ 35","2.DAU _ N2",14H 55M 0S,895,1,4,4,1.25150421179302,1.27842655193608,1.753,2.367,830,0.349,0,65,0,0,0,0,0,0,0,0,0,1.731,1.731,0.52416,0.315379061371841,4,NA,NA,1.95833333333333,2.011
"28","37",13,8,"E",2535,8,"01. Sep",2023,"Y",13:50:00,"N2","MVI_8088",NA,"Y","13:50",8,NA,2,"2.DAU",0.217,0.726,-4.142,0.726,0.12,1.949,-6.34,1.995,0.119,"2Non_social","2Lab","13 _ 37","2.DAU _ N2",13H 50M 0S,830,1,5,5,0.36390977443609,0.372498717290918,6.34,4.142,830,0.217,0,0,0,0,0,0,0,0,0,0,0,0.509,0.509,0.08712,0.0436691729323308,4,NA,NA,1.475,1.778
"29","40",13,30,"E",2557,30,"01. Sep",2023,"Y",14:55:00,"N2","MVI_8110",NA,"Y","13:50",8,NA,2,"2.DAU",0.263,1.017,-2.622,0.997,0.217,2.356,-8.931,2.402,0.12,"2Non_social","2Lab","13 _ 40","2.DAU _ N2",14H 55M 0S,895,1,3,3,0.415070774354704,0.431663837011885,8.931,2.622,830,0.263,0,65,0,0,0,0,0,0,0,0,0,0.734,0.754,0.216349,0.0900703580349709,4,NA,NA,0.981333333333333,0.997
"30","41",13,31,"E",2558,31,"01. Sep",2023,"Y",14:55:00,"N2","MVI_8111",NA,"Y","13:50",8,NA,2,"2.DAU",0.24,1.469,-3.799,1.486,0.218,2.068,-4.219,2.073,0.137,"2Non_social","2Lab","13 _ 41","2.DAU _ N2",14H 55M 0S,895,1,4,4,0.716835504100338,0.710348162475822,4.219,3.799,830,0.24,0,65,0,0,0,0,0,0,0,0,0,1.246,1.229,0.323948,0.156270139893874,4,NA,NA,1.582,1.629
"31","24",14,5,"E",2646,5,"15. Sep",2023,"Y",16:25:00,"CB","MVI_8208",NA,"Y","16:15",17.66666667,NA,2,"2.DAU",0.289,0.786,-4.986,0.8,0.173,2.864,-3.724,2.87,0.103,"1Social","1Wild","14 _ 24","2.DAU _ CB",16H 25M 0S,985,1,4,4,0.278745644599303,0.274441340782123,3.724,4.986,985,0.289,0,0,0,0,0,0,0,0,0,0,0,0.511,0.497,0.1384,0.0482229965156794,8.833333335,NA,NA,1.44433333333333,1.626
"32","25",14,6,"E",2647,6,"15. Sep",2023,"Y",16:25:00,"CB","MVI_8209",NA,"Y","16:15",17.66666667,NA,2,"2.DAU",0.332,0.995,1.548,0.99,0.214,2.762,-0.703,2.763,0.103,"1Social","1Wild","14 _ 25","2.DAU _ CB",16H 25M 0S,985,1,4,4,0.358306188925081,0.360246198406951,0.703,1.548,985,0.332,0,0,0,0,0,0,0,0,0,0,0,0.658,0.663,0.21186,0.0766775244299674,8.833333335,NA,NA,1.44466666666667,1.519
"33","26",14,31,"E",2672,31,"15. Sep",2023,"Y",17:15:00,"CB","MVI_8235",NA,"Y","16:15",17.66666667,NA,2,"2.DAU",0.332,1.562,4.961,1.546,0.402,2.661,2.569,2.646,0.102,"1Social","1Wild","14 _ 26","2.DAU _ CB",17H 15M 0S,1035,1,3,3,0.584278155706727,0.586997369409996,2.569,4.961,985,0.332,0,50,0,0,0,0,0,0,0,0,0,1.214,1.23,0.621492,0.234879818594104,8.833333335,NA,NA,1.68333333333333,1.717
"34","27",14,7,"E",2648,7,"15. Sep",2023,"Y",16:25:00,"CB","MVI_8211",NA,"Y","16:15",17.66666667,NA,2,"2.DAU",0.401,0.711,2.968,0.723,0.123,2.559,3.033,2.563,0.103,"1Social","1Wild","14 _ 27","2.DAU _ CB",16H 25M 0S,985,1,4,4,0.282091299258681,0.277842907385698,3.033,2.968,985,0.401,0,0,0,0,0,0,0,0,0,0,0,0.322,0.31,0.088929,0.0346972298088178,8.833333335,NA,NA,1.436,1.766
"35","29",14,8,"E",2649,8,"15. Sep",2023,"Y",16:25:00,"CB","MVI_8212",NA,"Y","16:15",17.66666667,NA,2,"2.DAU",0.251,0.722,2.946,0.728,0.124,3.288,2.67,3.274,0.153,"1Social","1Wild","14 _ 29","2.DAU _ CB",16H 25M 0S,985,1,4,4,0.222357971899817,0.219586374695864,2.67,2.946,985,0.251,0,0,0,0,0,0,0,0,0,0,0,0.477,0.471,0.090272,0.0275723885155773,8.833333335,NA,NA,1.03066666666667,0.908
